name,hex
blue,#2196F3
light_blue,#64B5F6
navy,#0D47A1
green,#4CAF50
light_green,#81C784
teal,#009688
red,#D32F2F
light_red,#EF5350
orange_red,#FF5722
yellow,#FFEB3B
amber,#FFC107
orange,#FF9800
magenta,#E040FB
purple,#9C27B0
deep_purple,#673AB7
white,#FFFFFF
light_gray,#CCCCCC
gray,#2A2A2A
dark_gray,#1E1E1E
black,#000000
brown,#795548
tan,#D2B48C
pastel_pink,#F8BBD0
pastel_blue,#BBDEFB
behringer_blue,#3281ff
behringer_light_blue,#03ddec
behringer_green,#56e541
behringer_dark_gray,#2e2e2e
behringer_magenta,#ee16e8
behringer_red,#f4483f
behringer_yellow,#e5ce4b
