width_mm,height_mm,rows,columns,texts,font_path,text_clearance_mm,font_color,stroke_width_mm,stroke_color,line_gap_ratio,canvas_color,canvas_thickness_mm,background_color
62,17,1,2,1|BASS\nGUITAR,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_blue
62,17,1,2,2|VIOLIN,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_light_blue
62,17,1,2,3|ACOUSTIC\nGUITAR\nAGATA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_green
62,17,1,2,4|VOCAL\nAGATA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_green
62,17,1,2,5|VOCAL\nNINA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,white,0.3,black,0.2,black,1,behringer_dark_gray
62,17,1,2,6.|ACOUSTIC\nGUITAR\nTOMEK,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,white
62,17,1,2,7|ELECTRIC\nGUITAR\nTOMEK,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,white
62,17,1,2,8|8,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_yellow
62,17,1,2,1|BASS\nGUITAR,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_blue
62,17,1,2,2|VIOLIN,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_light_blue
62,17,1,2,3|ACOUSTIC\nGUITAR\nAGATA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_green
62,17,1,2,4|VOCAL\nAGATA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_green
62,17,1,2,5|VOCAL\nNINA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,white,0.3,black,0.2,black,1,behringer_dark_gray
62,17,1,2,6.|ACOUSTIC\nGUITAR\nTOMEK,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,white
62,17,1,2,7|ELECTRIC\nGUITAR\nTOMEK,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,white
62,17,1,2,8|8,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_yellow
62,17,1,2,1|BASS\nGUITAR,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_blue
62,17,1,2,2|VIOLIN,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_light_blue
62,17,1,2,3|ACOUSTIC\nGUITAR\nAGATA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,1,behringer_green
